date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-07-07,1211,2491,815,240,37,13,26,0
2022-07-08,1211,2491,815,240,38,11,26,0
2022-07-09,1211,2491,815,240,39,9,26,0
2022-07-10,1211,2491,815,240,38,7,31,0
2022-07-11,1211,2491,815,240,34,8,24,0
2022-07-12,1211,2491,815,240,30,8,19,0
2022-07-13,1211,2491,815,240,28,7,19,0
2022-07-14,1211,2491,815,240,25,7,19,0
2022-07-15,1211,2491,815,240,20,6,21,0
2022-07-16,1211,2491,815,240,13,5,19,0
2022-07-17,1211,2491,815,240,15,6,21,0
2022-07-18,1211,2491,815,240,13,5,24,1
